date,session_key,meeting_key,driver_number,position,timestamp,name_acronym,team_name,team_colour
2024-06-30 13:25:53.544000+00:00,9550,1239,10,8,13:25:53.544000,GAS,Alpine,0093cc
2024-06-30 13:25:53.544000+00:00,9550,1239,31,9,13:25:53.544000,OCO,Alpine,0093cc
2024-06-30 13:26:04.439000+00:00,9550,1239,27,12,13:26:04.439000,HUL,Haas F1 Team,B6BABD
2024-06-30 13:26:04.439000+00:00,9550,1239,77,13,13:26:04.439000,BOT,Kick Sauber,52e252
2024-06-30 13:27:09.432000+00:00,9550,1239,22,9,13:27:09.432000,TSU,RB,6692FF
2024-06-30 13:27:09.432000+00:00,9550,1239,31,10,13:27:09.432000,OCO,Alpine,0093cc
2024-06-30 13:27:15.750000+00:00,9550,1239,18,12,13:27:15.750000,STR,Aston Martin,229971
2024-06-30 13:27:15.750000+00:00,9550,1239,27,10,13:27:15.750000,HUL,Haas F1 Team,B6BABD
2024-06-30 13:27:15.750000+00:00,9550,1239,31,11,13:27:15.750000,OCO,Alpine,0093cc
2024-06-30 13:27:15.872000+00:00,9550,1239,18,11,13:27:15.872000,STR,Aston Martin,229971
2024-06-30 13:27:15.872000+00:00,9550,1239,31,12,13:27:15.872000,OCO,Alpine,0093cc
2024-06-30 13:27:16.661000+00:00,9550,1239,20,12,13:27:16.661000,MAG,Haas F1 Team,B6BABD
2024-06-30 13:27:16.661000+00:00,9550,1239,31,13,13:27:16.661000,OCO,Alpine,0093cc
2024-06-30 13:27:16.661000+00:00,9550,1239,77,14,13:27:16.661000,BOT,Kick Sauber,52e252
2024-06-30 13:27:19.462000+00:00,9550,1239,3,13,13:27:19.462000,RIC,RB,6692FF
2024-06-30 13:27:19.462000+00:00,9550,1239,24,16,13:27:19.462000,ZHO,Kick Sauber,52e252
2024-06-30 13:27:19.462000+00:00,9550,1239,31,14,13:27:19.462000,OCO,Alpine,0093cc
2024-06-30 13:27:19.462000+00:00,9550,1239,77,15,13:27:19.462000,BOT,Kick Sauber,52e252
2024-06-30 13:27:20.548000+00:00,9550,1239,14,14,13:27:20.548000,ALO,Aston Martin,229971
2024-06-30 13:27:20.548000+00:00,9550,1239,24,17,13:27:20.548000,ZHO,Kick Sauber,52e252
2024-06-30 13:27:20.548000+00:00,9550,1239,31,15,13:27:20.548000,OCO,Alpine,0093cc
2024-06-30 13:27:20.548000+00:00,9550,1239,77,16,13:27:20.548000,BOT,Kick Sauber,52e252
2024-06-30 13:27:23.378000+00:00,9550,1239,24,15,13:27:23.378000,ZHO,Kick Sauber,52e252
2024-06-30 13:27:23.378000+00:00,9550,1239,31,16,13:27:23.378000,OCO,Alpine,0093cc
2024-06-30 13:27:23.378000+00:00,9550,1239,77,17,13:27:23.378000,BOT,Kick Sauber,52e252
2024-06-30 13:27:23.722000+00:00,9550,1239,23,16,13:27:23.722000,ALB,Williams,64C4FF
2024-06-30 13:27:23.722000+00:00,9550,1239,31,17,13:27:23.722000,OCO,Alpine,0093cc
2024-06-30 13:27:23.722000+00:00,9550,1239,77,18,13:27:23.722000,BOT,Kick Sauber,52e252
2024-06-30 13:28:05.328000+00:00,9550,1239,44,6,13:28:05.328000,HAM,Mercedes,27F4D2
2024-06-30 13:28:05.328000+00:00,9550,1239,81,5,13:28:05.328000,PIA,McLaren,FF8000
2024-06-30 13:28:25.605000+00:00,9550,1239,10,9,13:28:25.605000,GAS,Alpine,0093cc
2024-06-30 13:28:25.605000+00:00,9550,1239,22,8,13:28:25.605000,TSU,RB,6692FF
2024-06-30 13:28:27.106000+00:00,9550,1239,10,10,13:28:27.106000,GAS,Alpine,0093cc
2024-06-30 13:28:27.106000+00:00,9550,1239,27,9,13:28:27.106000,HUL,Haas F1 Team,B6BABD
2024-06-30 13:28:28.171000+00:00,9550,1239,10,11,13:28:28.171000,GAS,Alpine,0093cc
2024-06-30 13:28:28.171000+00:00,9550,1239,18,12,13:28:28.171000,STR,Aston Martin,229971
2024-06-30 13:28:28.171000+00:00,9550,1239,20,10,13:28:28.171000,MAG,Haas F1 Team,B6BABD
2024-06-30 13:28:30.891000+00:00,9550,1239,3,11,13:28:30.891000,RIC,RB,6692FF
2024-06-30 13:28:30.891000+00:00,9550,1239,10,12,13:28:30.891000,GAS,Alpine,0093cc
2024-06-30 13:28:30.891000+00:00,9550,1239,18,13,13:28:30.891000,STR,Aston Martin,229971
2024-06-30 13:28:31.957000+00:00,9550,1239,10,13,13:28:31.957000,GAS,Alpine,0093cc
2024-06-30 13:28:31.957000+00:00,9550,1239,14,12,13:28:31.957000,ALO,Aston Martin,229971
2024-06-30 13:28:31.957000+00:00,9550,1239,18,14,13:28:31.957000,STR,Aston Martin,229971
2024-06-30 13:28:35.042000+00:00,9550,1239,10,14,13:28:35.042000,GAS,Alpine,0093cc
2024-06-30 13:28:35.042000+00:00,9550,1239,18,15,13:28:35.042000,STR,Aston Martin,229971
2024-06-30 13:28:35.042000+00:00,9550,1239,23,13,13:28:35.042000,ALB,Williams,64C4FF
2024-06-30 13:28:35.042000+00:00,9550,1239,24,16,13:28:35.042000,ZHO,Kick Sauber,52e252
2024-06-30 13:28:35.566000+00:00,9550,1239,10,15,13:28:35.566000,GAS,Alpine,0093cc
2024-06-30 13:28:35.566000+00:00,9550,1239,18,16,13:28:35.566000,STR,Aston Martin,229971
2024-06-30 13:28:35.566000+00:00,9550,1239,24,17,13:28:35.566000,ZHO,Kick Sauber,52e252
2024-06-30 13:28:35.566000+00:00,9550,1239,31,14,13:28:35.566000,OCO,Alpine,0093cc
2024-06-30 13:28:37.069000+00:00,9550,1239,10,16,13:28:37.069000,GAS,Alpine,0093cc
2024-06-30 13:28:37.069000+00:00,9550,1239,18,17,13:28:37.069000,STR,Aston Martin,229971
